timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1593489704961,49,GET ALL,200,,DemoApp Thread Group 1-1,text,true,,526609,183,1,1,http://localhost:8080/search,F:\disk E\Тестирование_материалы\jmeter_files\response_data\GET ALL_response_07.01.45_30.06.2020_51.json,34,ISO-8859-1,1,0,DNAPC,0,0
1593489705020,2,GET VALID_NAME_AND_ID,200,,DemoApp Thread Group 1-1,text,true,,205,206,1,1,http://localhost:8080/search?id=1&name=aston-martin,F:\disk E\Тестирование_материалы\jmeter_files\response_data\GET VALID_NAME_AND_ID_response_07.01.45_30.06.2020_52.json,2,ISO-8859-1,1,0,DNAPC,0,0
1593489705023,1,GET VALID_ID,200,,DemoApp Thread Group 1-1,text,true,,205,188,1,1,http://localhost:8080/search?id=1,F:\disk E\Тестирование_материалы\jmeter_files\response_data\GET VALID_ID_response_07.01.45_30.06.2020_53.json,1,ISO-8859-1,1,0,DNAPC,0,0
1593489705025,19,GET VALID_NAME,200,,DemoApp Thread Group 1-1,text,true,,223205,201,1,1,http://localhost:8080/search?name=aston-martin,F:\disk E\Тестирование_материалы\jmeter_files\response_data\GET VALID_NAME_response_07.01.45_30.06.2020_54.json,14,ISO-8859-1,1,0,DNAPC,0,0
1593489705069,88,GET  EMPTY_NAME,200,,DemoApp Thread Group 1-1,text,true,,526609,189,1,1,http://localhost:8080/search?name=,F:\disk E\Тестирование_материалы\jmeter_files\response_data\GET  EMPTY_NAME_response_07.01.45_30.06.2020_55.json,74,ISO-8859-1,1,0,DNAPC,0,0
1593489705211,2,GET NON_NUMERIC_ID,400,,DemoApp Thread Group 1-1,text,true,,254,204,1,1,http://localhost:8080/search?id=non_numeric_value,F:\disk E\Тестирование_материалы\jmeter_files\response_data\GET NON_NUMERIC_ID_response_07.01.45_30.06.2020_56.json,1,ISO-8859-1,1,0,DNAPC,0,0
1593489705214,2,POST NULL_NAME,200,,DemoApp Thread Group 1-1,,true,,121,217,1,1,http://localhost:8080/addCar,F:\disk E\Тестирование_материалы\jmeter_files\response_data\POST NULL_NAME_response_07.01.45_30.06.2020_57.unknown,2,ISO-8859-1,1,0,DNAPC,0,1
1593489705217,48,GET ALL,200,,DemoApp Thread Group 1-1,text,true,,526634,183,1,1,http://localhost:8080/search,F:\disk E\Тестирование_материалы\jmeter_files\response_data\GET ALL_response_07.01.45_30.06.2020_58.json,33,ISO-8859-1,1,0,DNAPC,0,0
1593489705276,1,GET VALID_NAME_AND_ID,200,,DemoApp Thread Group 1-1,text,true,,205,206,1,1,http://localhost:8080/search?id=1&name=aston-martin,F:\disk E\Тестирование_материалы\jmeter_files\response_data\GET VALID_NAME_AND_ID_response_07.01.45_30.06.2020_59.json,1,ISO-8859-1,1,0,DNAPC,0,0
1593489705278,1,GET VALID_ID,200,,DemoApp Thread Group 1-1,text,true,,205,188,1,1,http://localhost:8080/search?id=1,F:\disk E\Тестирование_материалы\jmeter_files\response_data\GET VALID_ID_response_07.01.45_30.06.2020_60.json,1,ISO-8859-1,1,0,DNAPC,0,0
1593489705281,19,GET VALID_NAME,200,,DemoApp Thread Group 1-1,text,true,,223205,201,1,1,http://localhost:8080/search?name=aston-martin,F:\disk E\Тестирование_материалы\jmeter_files\response_data\GET VALID_NAME_response_07.01.45_30.06.2020_61.json,14,ISO-8859-1,1,0,DNAPC,0,0
1593489705336,53,GET  EMPTY_NAME,200,,DemoApp Thread Group 1-1,text,true,,526634,189,1,1,http://localhost:8080/search?name=,F:\disk E\Тестирование_материалы\jmeter_files\response_data\GET  EMPTY_NAME_response_07.01.45_30.06.2020_62.json,36,ISO-8859-1,1,0,DNAPC,0,0
1593489705440,3,GET NON_NUMERIC_ID,400,,DemoApp Thread Group 1-1,text,true,,254,204,1,1,http://localhost:8080/search?id=non_numeric_value,F:\disk E\Тестирование_материалы\jmeter_files\response_data\GET NON_NUMERIC_ID_response_07.01.45_30.06.2020_63.json,2,ISO-8859-1,1,0,DNAPC,0,0
1593489705444,3,POST VALID_NAME,200,,DemoApp Thread Group 1-1,,true,,121,227,1,1,http://localhost:8080/addCar,F:\disk E\Тестирование_материалы\jmeter_files\response_data\POST VALID_NAME_response_07.01.45_30.06.2020_64.unknown,3,ISO-8859-1,1,0,DNAPC,0,1
1593489705448,50,GET ALL,200,,DemoApp Thread Group 1-1,text,true,,526669,183,1,1,http://localhost:8080/search,F:\disk E\Тестирование_материалы\jmeter_files\response_data\GET ALL_response_07.01.45_30.06.2020_65.json,34,ISO-8859-1,1,0,DNAPC,0,0
1593489705532,1,GET VALID_NAME_AND_ID,200,,DemoApp Thread Group 1-1,text,true,,205,206,1,1,http://localhost:8080/search?id=1&name=aston-martin,F:\disk E\Тестирование_материалы\jmeter_files\response_data\GET VALID_NAME_AND_ID_response_07.01.45_30.06.2020_66.json,1,ISO-8859-1,1,0,DNAPC,0,0
1593489705535,1,GET VALID_ID,200,,DemoApp Thread Group 1-1,text,true,,205,188,1,1,http://localhost:8080/search?id=1,F:\disk E\Тестирование_материалы\jmeter_files\response_data\GET VALID_ID_response_07.01.45_30.06.2020_67.json,0,ISO-8859-1,1,0,DNAPC,0,0
1593489705537,18,GET VALID_NAME,200,,DemoApp Thread Group 1-1,text,true,,223240,201,1,1,http://localhost:8080/search?name=aston-martin,F:\disk E\Тестирование_материалы\jmeter_files\response_data\GET VALID_NAME_response_07.01.45_30.06.2020_68.json,13,ISO-8859-1,1,0,DNAPC,0,0
1593489705584,60,GET  EMPTY_NAME,200,,DemoApp Thread Group 1-1,text,true,,526669,189,1,1,http://localhost:8080/search?name=,F:\disk E\Тестирование_материалы\jmeter_files\response_data\GET  EMPTY_NAME_response_07.01.45_30.06.2020_69.json,43,ISO-8859-1,1,0,DNAPC,0,0
1593489705711,1,GET NON_NUMERIC_ID,400,,DemoApp Thread Group 1-1,text,true,,254,204,1,1,http://localhost:8080/search?id=non_numeric_value,F:\disk E\Тестирование_материалы\jmeter_files\response_data\GET NON_NUMERIC_ID_response_07.01.45_30.06.2020_70.json,1,ISO-8859-1,1,0,DNAPC,0,0
1593489705713,3,POST EMPTY_NAME,200,,DemoApp Thread Group 1-1,,true,,121,215,1,1,http://localhost:8080/addCar,F:\disk E\Тестирование_материалы\jmeter_files\response_data\POST EMPTY_NAME_response_07.01.45_30.06.2020_71.unknown,3,ISO-8859-1,1,0,DNAPC,0,1
1593489705717,58,GET ALL,200,,DemoApp Thread Group 1-1,text,true,,526692,183,1,1,http://localhost:8080/search,F:\disk E\Тестирование_материалы\jmeter_files\response_data\GET ALL_response_07.01.45_30.06.2020_72.json,44,ISO-8859-1,1,0,DNAPC,0,0
1593489705785,2,GET VALID_NAME_AND_ID,200,,DemoApp Thread Group 1-1,text,true,,205,206,1,1,http://localhost:8080/search?id=1&name=aston-martin,F:\disk E\Тестирование_материалы\jmeter_files\response_data\GET VALID_NAME_AND_ID_response_07.01.45_30.06.2020_73.json,2,ISO-8859-1,1,0,DNAPC,0,0
1593489705788,0,GET VALID_ID,200,,DemoApp Thread Group 1-1,text,true,,205,188,1,1,http://localhost:8080/search?id=1,F:\disk E\Тестирование_материалы\jmeter_files\response_data\GET VALID_ID_response_07.01.45_30.06.2020_74.json,0,ISO-8859-1,1,0,DNAPC,0,0
1593489705789,19,GET VALID_NAME,200,,DemoApp Thread Group 1-1,text,true,,223240,201,1,1,http://localhost:8080/search?name=aston-martin,F:\disk E\Тестирование_материалы\jmeter_files\response_data\GET VALID_NAME_response_07.01.45_30.06.2020_75.json,14,ISO-8859-1,1,0,DNAPC,0,0
